FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.81342778,7.028182902,1.62,1,1,Spring,All
90.17329407,8.652330344,5.33,14,1,Spring,All
92.0554988,10.37344602,5.17,215,1,Spring,All
93.18777972,12.58219916,0.99,245,1,Spring,All
93.33652497,15.15054411,4.96,33,1,Spring,All
93.38698401,17.74018251,1.84,212,1,Spring,All
93.28732594,19.5878163,3.39,222,1,Spring,All
92.57678188,20.52633255,2.81,268,1,Spring,All
92.28001413,21.32532684,3.09,215,1,Spring,All
92.33012435,22.53557807,2.68,300,1,Spring,All
92.46311078,24.35133779,7.3,9,1,Spring,All
92.51328146,26.71763488,3.87,59,1,Spring,All
92.5634687,28.67636767,2.05,260,1,Spring,All
93.02740864,30.59771431,1.73,71,1,Spring,All
94.16588358,33.17476021,3.63,233,1,Spring,All
94.91118429,36.43856528,2.06,53,1,Spring,All
94.9621632,39.65811446,3.39,263,1,Spring,All
94.97932752,42.87283651,1.16,17,1,Spring,All
94.85028998,45.62350076,2.46,219,1,Spring,All
94.700253,48.03586087,2.1,242,1,Spring,All
94.21798688,49.81770706,1.73,45,1,Spring,All
93.64591297,51.43970772,1.86,217,1,Spring,All
93.69647414,53.01910918,5.5,46,1,Spring,All
94.57502674,55.14277014,2.09,68,1,Spring,All
94.90704817,57.77351755,1.95,302,1,Spring,All
94.71489028,60.27606194,5.83,200,1,Spring,All
94.34435967,62.58267297,1.66,241,1,Spring,All
94.39515144,64.44351958,2.72,212,1,Spring,All
94.50701546,66.36524702,2.38,331,1,Spring,All
94.97773273,68.64329859,0.68,94,1,Spring,All
95.02873361,71.6875899,2.27,226,1,Spring,All
95.07975133,74.83192252,2.29,259,1,Spring,All
94.81536524,77.96086012,2.48,153,1,Spring,All
94.27165446,80.97522102,2.48,245,1,Spring,All
93.81265755,83.92727651,2.14,231,1,Spring,All
93.6899616,86.81615235,2.56,246,1,Spring,All
93.74053732,89.98017899,7.6,34,2,Spring,All
93.81764603,93.24091459,2.33,219,1,Spring,All
93.86967531,96.61378717,2.14,261,1,Spring,All
93.92031036,100.1845388,2.59,279,2,Spring,All
93.97096213,103.4652709,5.07,166,2,Spring,All
94.02163062,106.4387902,3.84,236,2,Summer,All
94.07231584,109.6569156,1.82,76,2,Summer,All
94.68748028,113.2977116,3.19,185,2,Summer,All
94.84687544,116.6169588,1.88,32,2,Summer,All
94.89783311,119.5925314,2.35,228,2,Summer,All
94.28527516,109.121566,5.42,260,2,Summer,All
93.89999867,111.5315724,1.62,235,2,Summer,All
93.66916989,114.210664,1.94,209,2,Summer,All
93.34558815,116.792914,1.49,281,1,Summer,All
92.58863618,74.34257583,1.94,243,1,Summer,All
92.6388483,76.46996567,1.92,209,1,Summer,All
92.68907699,78.71990902,4.12,45,1,Summer,All
93.02345061,80.9631227,5.1,267,1,Summer,All
94.09963682,83.96290653,9.22,254,2,Summer,All
95.69958425,87.4768414,2.37,329,2,Summer,All
95.75082345,91.37531574,1.92,215,2,Summer,All
95.2765319,94.61331777,1.68,203,2,Summer,All
95.05107456,97.64745233,3.17,358,2,Summer,All
94.62223292,100.3830201,3.91,295,2,Summer,All
92.41488039,73.2104264,5.36,48,1,Summer,All
92.46503514,75.67457001,1.81,240,1,Summer,All
92.51520645,78.19379654,3.35,211,1,Summer,All
92.56539432,80.30695588,2.66,208,1,Summer,All
93.05962734,82.88373646,1.38,192,1,Summer,All
94.61224443,86.09512676,1.1,262,1,Summer,All
95.811929,89.86525407,0,318,2,Summer,All
96.68076923,93.867993,2.91,167,2,Summer,All
96.80549516,97.84591938,4.66,265,3,Summer,All
96.85709947,101.6527066,2.31,28,2,Summer,All
96.90872082,105.2921976,2.18,242,2,Summer,All
96.74250719,108.7791018,1.84,190,2,Summer,All
96.6068598,112.3828713,4.68,259,3,Summer,All
96.61276659,116.0071254,0.51,200,2,Summer,All
96.50110417,119.5763432,2.12,237,2,Summer,All
96.55260799,123.2775143,1.09,274,2,Summer,All
96.58448073,127.0488832,2.48,218,3,Summer,All
96.63601207,130.8921698,1.99,273,3,Summer,All
96.80969577,135.024383,2.48,232,3,Summer,All
96.86130147,139.173078,0.75,230,3,Summer,All
97.12464404,144.5029898,2.94,251,3,Summer,All
97.5060483,150.1051565,2.09,298,3,Summer,All
97.76316392,155.9937283,1.49,220,3,Summer,All
97.9410049,161.8053554,2.81,256,4,Summer,All
97.93198514,167.5354971,0.6,202,3,Summer,All
97.41019559,172.553191,2.92,245,4,Summer,All
96.90527261,176.9338011,4.9,188,4,Summer,All
95.6393435,141.9923195,1.66,251,2,Summer,All
95.0984973,124.2778005,1.92,240,2,Summer,All
95.14953804,115.4366437,1.6,229,2,Summer,All
95.72675198,120.2260234,1.79,267,2,Summer,All
96.13489322,125.096242,2.12,216,2,Summer,All
96.18627613,129.8634805,1.6,319,2,Summer,All
96.23767601,134.4280512,0.54,222,2,Summer,All
96.04829165,138.825659,1.84,174,2,Summer,All
96.09964597,143.3990333,1.75,249,2,Summer,All
96.15101725,148.0347784,1.17,241,2,Summer,All
96.08609859,152.3517348,1.28,190,2,Summer,All
95.61520334,156.1994453,1.3,241,2,Summer,All
95.04122237,159.7373214,1.73,260,2,Summer,All
94.23438836,163.1025136,1.99,278,2,Summer,All
93.95088541,166.5765077,2.22,217,2,Summer,All
93.77982781,170.0615719,1.79,236,2,Summer,All
93.77089011,173.6084169,1.64,264,2,Summer,All
93.82149255,177.5410316,3.11,251,2,Summer,All
94.86962827,181.7568323,0.8,228,2,Summer,All
94.92059346,111.7897656,1.23,230,2,Summer,All
94.60643829,110.9756451,1.66,238,2,Summer,All
93.83342085,87.95776072,1.84,129,1,Summer,All
93.7293589,75.02941841,1.28,316,1,Summer,All
93.73276989,72.63139984,3.04,213,1,Summer,All
93.33374753,61.69711508,2.12,229,1,Summer,All
93.17216111,45.60564792,2.07,303,1,Summer,All
93.19697852,37.28414638,2.49,356,1,Summer,All
92.81563545,26.52808663,0.32,49,1,Summer,All
90.47892148,17.68231191,1.7,238,1,Summer,All
87.29696651,10.12723571,1.86,284,1,Summer,All
87.34543158,7.647047589,3.13,251,1,Summer,All
88.39453377,7.701484872,1.41,351,1,Summer,All
89.72154425,10.48588836,1.77,307,1,Summer,All
90.31917861,12.33388139,1.75,206,1,Summer,All
90.83096726,17.50056103,1.02,14,1,Summer,All
91.06891682,19.67835064,1.04,236,1,Summer,All
91.63394751,25.183908,2.61,274,1,Summer,All
92.33947024,30.79476959,2.38,266,1,Summer,All
93.20873195,36.44251791,2.23,239,1,Summer,All
93.90469338,42.14748337,2.61,52,1,Summer,All
94.03940486,47.71280918,1.55,241,1,Summer,All
94.09009595,53.04451765,2.18,318,1,Summer,All
94.14080377,58.17528686,2.2,286,1,Summer,All
94.19152833,63.1379727,1.53,239,1,Summer,All
