FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
88.87677046,7.959099415,0.56,275,1,Spring,All
90.0271975,9.301425344,1.88,61,1,Spring,All
91.11817829,10.87110007,4.58,293,1,Spring,All
92.50221049,12.9025452,2.07,251,1,Spring,All
92.87976659,15.11265498,2.44,242,1,Spring,All
92.93007482,17.30786451,1.34,213,1,Spring,All
92.5123095,19.06650471,4.4,242,1,Spring,All
92.56249642,20.8149963,3.22,241,1,Spring,All
93.32080776,23.06826247,3.02,244,1,Spring,All
93.3712616,21.28089077,3.56,220,1,Spring,All
93.10329913,23.28478154,3.91,234,1,Spring,All
92.38105832,20.77687155,2.98,53,1,Spring,All
91.61260671,20.2940345,3.19,239,1,Spring,All
91.59805342,21.65193739,3.26,208,1,Spring,All
92.19563923,23.73842765,1.36,24,1,Spring,All
93.49736949,26.7741443,1.82,228,1,Spring,All
93.80102584,29.97451686,0.54,250,1,Spring,All
93.77383922,32.64489225,3.09,266,1,Spring,All
93.53933219,34.85864726,4.98,353,1,Spring,All
93.51584394,36.32784504,1.84,158,1,Spring,All
93.56636217,37.65242733,2.35,228,1,Spring,All
93.61689708,39.18245588,2.03,133,1,Spring,All
93.66744868,40.90813786,2.55,245,1,Spring,All
93.85176728,43.35818601,2.59,255,1,Spring,All
94.46136693,46.15695594,1.45,236,1,Spring,All
95.18053026,49.52090766,2.46,224,1,Spring,All
96.53004169,54.08270029,5.38,254,2,Spring,All
96.97963903,58.76401519,4.56,232,2,Spring,All
97.03130084,63.39343034,2.16,33,2,Spring,All
98.29509192,68.46236447,2.35,239,2,Spring,All
98.37273536,74.08614517,2.05,286,2,Spring,All
98.22684831,79.18002891,3.19,229,2,Spring,All
97.89087341,83.59521491,3.07,233,2,Spring,All
96.90961106,87.26139559,4.6,235,2,Spring,All
96.05278773,90.59231821,3.35,233,2,Spring,All
95.34112363,93.81677102,2.46,226,2,Spring,All
94.65693102,96.94545349,3.76,220,2,Spring,All
94.62360362,100.4725497,2.44,226,2,Spring,All
94.67448758,104.3149777,2.03,68,2,Spring,All
94.83985316,108.505242,2.89,302,2,Spring,All
95.00461037,112.8380056,3,301,2,Spring,All
95.82622446,117.3872469,6.39,34,3,Summer,All
96.7351707,122.5888966,2.14,227,3,Summer,All
97.25473252,128.1409369,2.55,295,3,Summer,All
97.46636436,133.82225,1.75,230,3,Summer,All
97.51818686,139.7393843,4.64,247,4,Summer,All
97.57002647,145.6771038,2.4,241,3,Summer,All
97.62188319,151.5693519,2.18,216,3,Summer,All
97.67375703,157.2807338,2.18,243,3,Summer,All
97.55733294,162.7175449,1.62,197,3,Summer,All
97.04208039,167.6482129,4.38,251,4,Summer,All
96.612927,172.174914,4.81,184,4,Summer,All
97.25221695,177.151431,4.19,35,4,Summer,All
97.30396875,182.5722656,5.36,190,4,Summer,All
97.3494008,187.9844003,1.27,273,3,Summer,All
97.22048694,193.2697088,1.43,88,3,Summer,All
96.9555152,198.039228,2.25,40,3,Summer,All
97.00716904,202.9566971,2.1,231,3,Summer,All
97.96076561,208.2962782,2.53,246,4,Summer,All
98.52455499,213.6403549,1.73,229,4,Summer,All
98.64371074,219.0106405,3.3,229,5,Summer,All
98.67575818,224.2412398,5.22,62,5,Summer,All
98.52800666,229.5054327,3.37,232,5,Summer,All
98.30744295,235.052437,2.57,87,5,Summer,All
