FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
91.01956451,9.128637671,2.35,230,1,Spring,All
91.27293547,11.39025714,2.76,49,1,Spring,All
90.94738166,12.97328611,5.01,72,1,Spring,All
89.72321893,5.742845076,2.32,246,1,Spring,All
89.77248502,3.929421687,4.34,214,1,Spring,All
89.82176738,5.428485138,2.38,240,1,Spring,All
89.87106602,3.639853128,4.54,65,1,Spring,All
89.92038093,5.342144279,0,75,1,Spring,All
89.96971212,7.062669186,3.13,291,1,Spring,All
90.01905959,8.785071045,3.17,56,1,Spring,All
90.34802785,10.31989345,2.14,287,1,Spring,All
91.56547701,12.1878623,3.48,240,1,Spring,All
92.61458978,14.52585065,2.51,215,1,Spring,All
93.00296881,14.04222824,2.12,247,1,Spring,All
93.36577619,16.63077398,2.41,240,1,Spring,All
93.66083832,19.60494762,2.94,215,1,Spring,All
93.40416241,22.25668665,4.56,253,1,Spring,All
93.13986776,24.45478219,1.52,268,1,Spring,All
93.17568706,25.90689114,3.96,236,1,Spring,All
93.226093,26.20225166,1.94,222,1,Spring,All
93.26960187,26.48852417,3.5,156,1,Spring,All
93.44529702,27.2513679,0.99,247,1,Spring,All
94.57792841,28.68415133,2.68,240,1,Spring,All
95.45144337,31.21421485,1.53,257,1,Spring,All
96.06846917,34.58071875,2.33,142,1,Spring,All
96.11983016,38.37410528,3.6,185,1,Spring,All
95.06769517,41.2722614,4.96,72,1,Spring,All
93.30107341,43.36229559,3.54,190,1,Spring,All
92.74936937,45.3649254,0.99,229,1,Spring,All
92.78165546,47.67774214,1.64,272,1,Spring,All
92.8319313,50.2094326,2.79,266,1,Spring,All
92.88222374,30.63777608,1.81,228,1,Spring,All
87.57529275,10.97811165,2.57,350,1,Spring,All
87.62384971,6.29220263,2.18,233,1,Spring,All
88.35371387,8.314023817,2.6,60,1,Spring,All
88.74790114,10.42041209,1.82,341,1,Spring,All
89.37549628,7.776974577,2.05,222,1,Spring,All
90.27302868,10.2371109,4.77,295,1,Spring,All
92.16859139,13.48688015,2.33,14,1,Spring,All
93.88412392,17.05975156,3.71,141,1,Spring,All
94.91729816,21.05501127,2.1,210,1,Spring,All
95.18266866,25.18897674,2.63,257,1,Summer,All
95.21738058,29.00075222,3.32,346,1,Summer,All
94.78580235,32.28867287,1.79,239,1,Summer,All
94.26740907,35.3373132,3.61,188,1,Summer,All
93.67976806,32.50863713,0,270,1,Summer,All
93.54149351,32.25494976,7.09,236,1,Summer,All
93.59202021,34.66929765,2.1,233,1,Summer,All
93.64256359,37.38279913,2.89,79,1,Summer,All
