FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
89.45693887,8.02416973,3.97,28,1,Spring,All
91.28343848,9.523493114,3.3,133,1,Spring,All
92.29676096,11.49491031,3.43,238,1,Spring,All
91.53655233,7.829447426,3.67,48,1,Spring,All
91.5864171,6.259531971,0.48,76,1,Spring,All
91.78252826,7.138056829,4.62,246,1,Spring,All
92.82136894,8.873787713,1.72,93,1,Spring,All
93.90347503,11.07177192,1.32,237,1,Spring,All
93.95412124,13.18453031,1.42,80,1,Spring,All
94.00478418,12.56768157,1.86,204,1,Spring,All
94.38941609,14.61769318,1.7,235,1,Spring,All
95.22186548,17.57272774,1.87,241,1,Spring,All
95.27294695,20.58488122,1.7,216,1,Spring,All
95.167678,23.47143505,1.81,227,1,Spring,All
94.96960255,26.04826418,3.04,216,1,Spring,All
94.31875828,24.56110252,2.37,225,1,Spring,All
93.84429244,26.21182008,2.17,250,1,Spring,All
93.82272824,28.20542393,1.68,226,1,Spring,All
93.64984797,29.72117276,1.77,220,1,Spring,All
93.10905309,24.24597763,1.7,34,1,Spring,All
93.08565154,24.668364,0.99,64,1,Spring,All
93.13602774,25.47981351,1.88,227,1,Spring,All
93.77318046,27.05419096,2.26,26,1,Spring,All
93.87359056,29.41237584,2.12,244,1,Spring,All
93.65267601,31.21599654,2.77,267,1,Spring,All
93.70323942,33.23884922,2.42,228,1,Spring,All
93.12765418,26.62334875,1.64,60,1,Spring,All
92.36334873,28.55206887,4.92,63,1,Spring,All
92.41037144,30.35788015,5.1,247,1,Spring,All
92.4605247,31.78244179,2.4,239,1,Spring,All
92.51069452,33.31949455,2.44,235,1,Spring,All
92.58922382,35.33771267,2.55,311,1,Spring,All
92.63943613,37.50993963,8.23,284,1,Spring,All
93.56998023,40.24657156,2.57,165,1,Spring,All
94.78942244,43.96880629,1.02,317,1,Spring,All
95.29783249,48.03832219,1.97,244,1,Spring,All
95.24232805,51.39241132,5.1,234,1,Spring,All
94.38796554,53.65927083,1.34,216,1,Spring,All
