FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
91.0854395,8.685246539,2.72,196,1,Spring,All
93.75880609,12.0104056,4.25,71,1,Spring,All
94.31760068,15.61049953,3.3,205,1,Spring,All
94.36838361,18.94640998,2.37,214,1,Spring,All
94.41918331,22.02951541,1.99,57,1,Spring,All
94.46999978,24.83834774,1.73,28,1,Spring,All
94.52083303,28.05900403,2.01,57,1,Spring,All
94.45829005,31.21099206,3.22,329,1,Spring,All
93.59725851,33.32134088,4.17,221,1,Spring,All
93.64780362,35.81585865,1.86,204,1,Spring,All
93.51040813,30.66901953,1.48,230,1,Spring,All
92.53185932,25.8091554,2.44,45,1,Spring,All
91.79957637,20.23932861,3.35,242,1,Spring,All
91.80041659,20.73745578,1.97,62,1,Spring,All
91.85036848,21.77195001,1.47,236,1,Spring,All
92.27125344,23.28893082,2.79,279,1,Spring,All
92.32136077,25.00080825,2.87,123,1,Spring,All
92.37148464,26.7190149,1.62,52,1,Spring,All
93.8165024,29.00414122,3.32,250,1,Spring,All
94.27651822,31.93555669,2.09,215,1,Spring,All
94.13411584,34.39599526,3.74,223,1,Spring,All
93.47474106,36.09557809,6.46,278,1,Spring,All
93.41515996,38.3450969,2.57,211,1,Spring,All
93.46564496,40.80384206,2.94,231,1,Spring,All
93.38344595,43.19549505,1.55,212,1,Spring,All
93.43392048,46.18072148,2.41,268,1,Spring,All
93.372123,48.96731588,2.55,195,1,Spring,All
92.8708307,51.6177294,2.92,220,1,Spring,All
92.92113598,54.42012823,2.29,229,1,Spring,All
93.3071476,57.61856831,3.76,33,1,Spring,All
93.35759693,60.43230871,2.33,244,1,Spring,All
93.73979185,63.39404776,3.54,58,1,Spring,All
95.332424,67.20642557,1.92,318,1,Spring,All
96.01469376,71.18083023,2.76,209,2,Spring,All
96.06603699,75.48585268,3.09,54,2,Spring,All
96.11739718,79.65501096,2.53,282,2,Spring,All
96.06754082,83.47968103,2.85,272,2,Spring,All
95.28608414,86.62707913,4.82,259,2,Spring,All
94.01960383,75.99442362,2.66,226,1,Spring,All
92.98050233,78.42573689,2.48,12,1,Spring,All
93.03084382,81.6020915,1.84,242,1,Spring,All
93.73567757,85.47486827,4.24,239,1,Summer,All
94.37605334,89.6174209,1.96,238,1,Summer,All
94.9257606,94.18307567,2.1,220,2,Summer,All
95.0995646,98.74496681,1.43,250,2,Summer,All
96.36662,104.0696208,2.48,228,2,Summer,All
96.93682008,109.5913708,1.56,245,2,Summer,All
96.98846775,114.8057265,1.77,238,2,Summer,All
96.72152541,119.5455213,1.96,284,2,Summer,All
96.14668362,124.2346396,4.96,250,3,Summer,All
95.09349138,71.83691408,3.87,225,2,Summer,All
94.82332117,75.2636666,3.87,68,2,Summer,All
94.87427107,78.82827841,1.88,48,1,Summer,All
94.92523779,82.43739584,1.53,235,1,Summer,All
94.97622133,85.92482101,4.17,217,2,Summer,All
95.83686551,89.55721436,3.11,36,2,Summer,All
96.16183121,93.86919285,2.63,255,2,Summer,All
96.70758258,98.91371351,1.75,240,2,Summer,All
97.16257433,103.9936492,1.95,279,2,Summer,All
97.99121276,109.0917007,1.79,281,3,Summer,All
98.04320853,114.8284844,2.68,223,3,Summer,All
98.09522148,120.3590107,1.47,182,3,Summer,All
97.98920332,125.4854275,4.45,222,4,Summer,All
98.01310844,130.751177,1.9,100,3,Summer,All
98.00277956,136.2817009,2.48,206,3,Summer,All
97.91434068,141.661727,3.45,328,4,Summer,All
97.46833594,146.3927332,2.91,245,3,Summer,All
97.4830584,151.5713613,2.07,227,3,Summer,All
97.48345524,156.9577076,2.5,267,3,Summer,All
97.26916154,162.1519784,3.69,298,4,Summer,All
97.06621374,167.1573524,0.99,300,3,Summer,All
97.11790413,172.228654,2.57,240,3,Summer,All
97.16961159,177.2734468,2.81,273,3,Summer,All
97.22133611,182.4685272,2.29,316,3,Summer,All
97.27307772,187.9223781,1.53,54,3,Summer,All
97.3248364,194.1857342,3.74,292,4,Summer,All
97.92389031,200.8966804,1.79,218,4,Summer,All
98.06024281,207.7772785,3.28,298,4,Summer,All
98.11226138,214.8338589,1.86,262,4,Summer,All
97.73050018,221.0802746,4.66,210,5,Summer,All
97.27350703,227.0303566,2.16,210,4,Summer,All
97.32526586,233.2049717,2.35,237,4,Summer,All
97.29734666,239.4852562,1.36,228,3,Summer,All
97.10463309,245.6387853,2.96,253,4,Summer,All
97.15633616,251.8917428,6.41,259,5,Summer,All
96.5851303,257.3602818,3.93,225,4,Summer,All
96.33551851,262.1604808,3.5,210,3,Summer,All
96.22743377,266.8067648,1.7,356,3,Summer,All
96.27884723,271.5577246,1.17,45,3,Summer,All
96.32847515,276.3336353,1.08,229,3,Summer,All
96.24474347,281.0396573,1.75,14,3,Summer,All
95.92031526,285.5058295,2.76,214,3,Summer,All
95.74659452,290.095539,1.45,250,3,Summer,All
95.79784923,295.0534177,1.12,212,3,Summer,All
96.26650673,300.3869716,1.82,251,3,Summer,All
96.83731834,305.9185291,1.49,237,3,Summer,All
96.88893315,311.2009683,2.4,234,4,Summer,All
96.94056502,316.1972634,1.23,256,3,Summer,All
96.99221392,321.3281318,2.25,197,4,Summer,All
97.04387988,326.7007141,1.08,247,3,Summer,All
96.39693556,331.6146476,1.84,216,3,Summer,All
96.09576928,336.5381456,1.42,244,3,Summer,All
96.14713928,341.6286913,2.25,233,3,Summer,All
95.86668989,346.5202478,1.32,199,3,Summer,All
95.7610963,351.463804,0.89,290,3,Summer,All
95.78144295,356.5758546,2.03,231,3,Summer,All
95.74114838,361.6685006,2.29,29,3,Summer,All
95.09443082,366.2509622,3.56,308,3,Summer,All
94.58478192,370.6140027,2.07,224,2,Summer,All
94.35105113,374.9422107,2.37,195,2,Summer,All
94.15493774,379.2431718,1.99,230,2,Summer,All
93.88176045,177.0084767,3.13,304,2,Summer,All
93.69378047,130.8804971,2.48,278,2,Summer,All
93.65962284,103.7816169,1.86,283,1,Summer,All
93.71018854,91.66419933,1.43,230,1,Summer,All
93.69869679,93.67385608,2.16,236,1,Summer,All
93.74927539,99.98664135,1.17,262,1,Summer,All
93.79987069,105.8212199,1.04,225,1,Summer,All
94.30451434,111.7787872,1.73,221,2,Summer,All
94.35529295,117.4475196,1.82,233,2,Summer,All
94.40608833,122.8541113,2.19,201,2,Summer,All
94.45690048,127.9994753,2.68,247,2,Summer,All
94.5077294,133.0315328,4.49,205,2,Summer,All
94.55857511,138.183062,1.55,252,2,Summer,All
94.6094376,143.4634698,0.82,238,2,Summer,All
94.66031688,148.7948814,1.58,256,2,Summer,All
95.07426118,154.2934629,2.59,228,2,Summer,All
95.36316569,159.8183658,1.84,247,2,Summer,All
95.41429382,165.2164512,2.63,194,3,Summer,All
95.6323713,170.7027207,2.53,231,3,Summer,All
96.27678308,176.3192526,1.17,234,3,Summer,All
96.49529586,181.9566962,1.6,219,3,Summer,All
96.60222099,187.5672455,2.74,276,3,Summer,All
96.8957533,193.2042779,2.81,40,3,Summer,All
97.40713547,198.8625141,1.62,209,3,Summer,All
97.45893842,204.4433049,0.43,272,3,Summer,All
97.51075846,209.7954301,0.69,359,3,Summer,All
97.1207334,214.8739224,1.47,60,3,Summer,All
96.70994629,219.7990233,2.1,236,3,Summer,All
96.73812286,224.8354729,1.42,47,3,Summer,All
96.78970493,230.0190191,1.4,60,3,Summer,All
96.84130403,235.2715291,1.66,44,3,Summer,All
96.89292016,240.3860688,1.96,271,3,Summer,All
96.94455334,245.4442491,1.42,2,3,Summer,All
96.84848174,250.4288716,0.95,218,3,Summer,All
96.90010025,255.58656,0.88,355,3,Summer,All
96.88331001,260.5551318,2.68,229,4,Summer,All
96.58037309,265.278311,2.27,223,3,Summer,All
95.69570042,268.9335152,1.92,149,3,Summer,All
94.93974252,272.3842447,1.96,110,2,Summer,All
94.99073086,276.0204192,1.66,233,2,Summer,All
94.40096078,140.7916174,1.81,307,2,Summer,All
92.58812297,93.49040098,0.26,251,1,Summer,All
92.07635195,81.43412504,3.39,20,1,Summer,All
92.12639493,81.33286451,1.71,233,1,Summer,All
92.34121177,86.18327838,1.45,193,1,Summer,All
92.66858906,91.11821929,1.99,304,1,Summer,All
92.71882757,95.74112102,1.21,21,1,Summer,All
